"","AdID","CategoryID","IsClick","Position","ParentCategoryID"
"1",1220223,44,1,7,12
"2",13840581,22,1,7,3
"3",14515103,34,1,1,6
"4",11801992,46,1,1,8
"5",29135166,35,1,1,9
"6",6955209,41,1,7,12
"7",24728248,34,1,1,6
"8",24455110,34,1,1,6
"9",32213480,26,1,1,12
"10",22754496,44,1,1,12
"11",26197491,27,1,1,9
"12",33897401,44,1,1,12
"13",33580701,38,1,7,9
"14",36798325,38,1,7,9
"15",33940616,4,1,1,2
"16",10896836,13,1,1,12
"17",25972884,41,1,1,12
"18",33817299,29,1,1,12
"19",25555833,22,1,1,3
"20",32586567,41,1,7,12
"21",3990871,34,1,1,6
"22",5184150,2,1,7,12
"23",6115044,4,1,1,2
"24",6892762,26,1,1,12
"25",23094697,22,1,1,3
"26",21694989,22,1,1,3
"27",21166189,41,1,1,12
"28",11417224,5,1,7,2
"29",24128955,60,1,7,3
"30",7978689,22,1,1,3
"31",9840503,46,1,1,8
"32",15764859,50,1,7,9
"33",18439018,53,1,7,5
"34",6552918,50,1,7,9
"35",26665731,41,1,1,12
"36",18294552,38,1,1,9
"37",23905439,34,1,7,6
"38",3864399,13,1,1,12
"39",12954862,38,1,1,9
"40",15837006,53,1,1,5
"41",1099809,47,1,1,3
"42",32773743,34,1,1,6
"43",2770377,41,1,7,12
"44",11801992,46,1,1,8
"45",28115555,41,1,1,12
"46",17866346,47,1,1,3
"47",170730,38,1,7,9
"48",10939135,16,1,1,2
"49",2770377,41,1,1,12
"50",917992,27,1,1,9
"51",31795119,51,1,7,12
"52",33576998,38,1,7,9
"53",27754820,26,1,1,12
"54",5304132,26,1,1,12
"55",10987434,47,1,1,3
"56",4801182,34,1,7,6
"57",2785073,22,1,1,3
"58",17424590,41,1,1,12
"59",22754496,44,1,1,12
"60",1839799,41,1,1,12
"61",35651242,53,1,1,5
"62",2902233,2,1,7,12
"63",31565576,2,1,1,12
"64",24758441,34,1,1,6
"65",34349082,22,1,1,3
"66",29361579,27,1,1,9
"67",33580701,38,1,1,9
"68",21167288,38,1,7,9
"69",19937876,41,1,7,12
"70",14587837,27,1,7,9
"71",23495947,34,1,1,6
"72",7229459,38,1,7,9
"73",31679831,50,1,7,9
"74",14207907,41,1,1,12
"75",9978637,50,1,7,9
"76",17579501,38,1,7,9
"77",17453815,38,1,1,9
"78",25697364,16,1,1,2
"79",26033999,26,1,1,12
"80",25801786,22,1,7,3
