"","AdID","CategoryID","IsClick","Position","ParentCategoryID"
"1",11441863,50,0,1,9
"2",22968355,50,0,7,9
"3",212187,34,0,7,6
"4",34084553,34,0,1,6
"5",36256251,43,0,2,6
"6",2073399,22,0,6,3
"7",6046052,22,0,7,3
"8",17544913,22,0,8,3
"9",20653823,22,0,1,3
"10",24129570,22,0,2,3
"11",530202,38,0,6,9
"12",11219482,38,0,1,9
"13",13375896,38,0,7,9
"14",30074367,38,0,2,9
"15",33506654,50,0,8,9
"16",6303835,27,0,1,9
"17",28312593,27,0,7,9
"18",24728248,34,0,1,6
"19",27598775,34,0,7,6
"20",1723280,4,0,6,2
"21",12183046,4,0,2,2
"22",14527486,4,0,8,2
"23",34932059,4,0,1,2
"24",36801941,4,0,7,2
"25",13524889,34,0,1,6
"26",34084553,34,0,7,6
"27",6486904,22,0,7,3
"28",18631439,22,0,1,3
"29",24656451,22,0,6,3
"30",34771144,22,0,8,3
"31",1123553,4,0,7,2
"32",13378643,4,0,2,2
"33",17613346,4,0,6,2
"34",21649152,4,0,1,2
"35",36603083,4,0,8,2
"36",7499560,38,0,1,9
"37",31665958,38,0,7,9
"38",21847208,38,0,8,9
"39",25213333,38,0,2,9
"40",29857850,38,0,1,9
"41",30702772,38,0,6,9
"42",34114280,38,0,7,9
"43",16853909,34,0,1,6
"44",18007497,34,0,7,6
"45",7876958,34,0,1,6
"46",23481221,34,0,7,6
"47",24083042,34,0,8,6
"48",35641371,34,0,6,6
"49",15133953,37,0,8,2
"50",16405113,37,0,6,2
"51",25194392,37,0,7,2
"52",25701927,37,0,2,2
"53",33687575,37,0,1,2
"54",20041052,60,0,2,3
"55",25146557,60,0,7,3
"56",30452367,60,0,1,3
"57",6115044,4,0,1,2
"58",15609465,4,0,8,2
"59",22215136,4,0,6,2
"60",27595199,4,0,7,2
"61",32678616,4,0,2,2
"62",4816993,38,0,1,9
"63",14750169,38,0,2,9
"64",14837845,38,0,6,9
"65",15651170,38,0,7,9
"66",34848261,38,0,8,9
"67",3760183,47,0,6,3
"68",10030083,47,0,8,3
"69",17851975,47,0,7,3
"70",18520061,47,0,2,3
"71",33066713,47,0,1,3
"72",3785519,38,0,2,9
"73",6419527,38,0,7,9
"74",12281759,38,0,1,9
"75",17563449,38,0,8,9
"76",24225770,38,0,6,9
"77",14775764,41,0,8,12
"78",23968902,41,0,1,12
"79",24078621,41,0,2,12
"80",26006074,41,0,6,12
"81",28852421,41,0,7,12
"82",2002324,47,0,6,3
"83",5389078,47,0,8,3
"84",12135671,47,0,7,3
"85",29614929,47,0,1,3
"86",13060051,34,0,2,6
"87",24728248,34,0,1,6
"88",27927411,34,0,7,6
"89",21387406,47,0,2,3
"90",30183154,22,0,1,3
"91",36720414,22,0,7,3
"92",16904117,38,0,7,9
"93",23307235,38,0,2,9
"94",29677960,38,0,1,9
"95",17579501,38,0,7,9
"96",29144688,38,0,1,9
"97",7852498,60,0,1,3
"98",11901916,60,0,7,3
"99",18000567,60,0,8,3
"100",27240352,60,0,2,3
"101",33507231,60,0,6,3
"102",13473769,60,0,6,3
"103",19321875,60,0,8,3
"104",22263166,60,0,1,3
"105",26079334,60,0,7,3
"106",9115234,38,0,1,9
"107",25368407,38,0,7,9
"108",32902875,38,0,2,9
"109",33272360,38,0,8,9
"110",34359128,38,0,6,9
"111",20558536,34,0,7,6
"112",23394982,34,0,1,6
"113",30856835,4,0,2,2
"114",15200924,47,0,7,3
"115",23073837,47,0,1,3
"116",35218646,47,0,2,3
"117",5108697,47,0,1,3
"118",17226550,47,0,7,3
"119",19880051,11,0,7,3
"120",22443842,11,0,8,3
"121",29811895,11,0,6,3
"122",34415850,11,0,1,3
"123",3718848,50,0,1,9
"124",26442889,50,0,7,9
"125",9652786,34,0,1,6
"126",27927411,34,0,7,6
"127",29321737,14,0,2,6
"128",16769697,34,0,1,6
"129",28719243,34,0,7,6
"130",18724613,34,0,2,6
"131",27927411,34,0,7,6
"132",34020177,34,0,8,6
"133",35123196,34,0,1,6
"134",35797845,34,0,6,6
"135",436942,60,0,7,3
"136",5471663,60,0,6,3
"137",10230167,60,0,2,3
"138",14906940,60,0,1,3
"139",31853484,60,0,8,3
"140",24822583,44,0,1,12
"141",6583406,27,0,2,9
"142",14908658,27,0,1,9
"143",7467274,38,0,8,9
"144",8016898,38,0,6,9
"145",15298241,38,0,7,9
"146",24285144,38,0,2,9
"147",25738905,38,0,1,9
"148",3727707,50,0,2,9
"149",12978905,50,0,6,9
"150",30193167,50,0,7,9
"151",33516216,50,0,1,9
"152",36314474,50,0,8,9
"153",8118640,47,0,6,3
"154",19296443,47,0,1,3
"155",19439742,47,0,2,3
"156",24261273,47,0,7,3
"157",28546568,47,0,8,3
